접수번호,성명,생년월일,성별,연락처,최종학력,자격종목,등급,시험유형,회차,시험구분,응시자격유형,시험지역,시험장,시험일자,교시,수수료,감면유형,감면금액,최종결제금액,결제수단,결제상태,접수상태,접수일시,사용맥락
DN2026772247,조정자,1954-11-04,여,010-9935-2424,초등학교졸업,한식조리기능사,기능사,상시CBT,,필기,비전공자,서울,서울남부시험장,2026-09-05,4,14500,없음,0,14500,신용카드,완료,접수완료,2026-08-11 12:14:00,가족보조
DN2026471030,우복남,1956-09-20,남,010-1106-3615,초등학교졸업,지게차운전기능사,기능사,상시CBT,,필기,비전공자,서울,서울남부시험장,2026-10-08,4,14500,없음,0,14500,신용카드,완료,접수완료,2026-08-12 12:48:00,가족보조
DN2026277371,박두만,1958-06-04,남,010-8527-9785,초등학교졸업,굴착기운전기능사,기능사,상시CBT,,필기,관련학과졸업,대구,대구시험장,2026-10-20,4,14500,없음,0,14500,신용카드,완료,접수완료,2026-08-14 14:36:00,가족보조
DN2026896866,권춘희,1963-04-23,여,010-7227-5554,중학교졸업,한식조리기능사,기능사,상시CBT,,필기,경력,대구,대구시험장,2026-10-03,3,14500,없음,0,14500,신용카드,완료,접수완료,2026-08-15 12:42:00,본인단독
DN2026484715,손복남,1962-05-23,남,010-4598-6313,중학교졸업,전기기능사,기능사,정기,1,필기,관련학과졸업,대구,대구시험장,2026-09-06,1,14500,없음,0,14500,계좌이체,완료,접수완료,2026-08-16 13:04:00,본인단독
DN2026481142,임복남,1955-04-19,남,010-3287-5040,중학교졸업,한식조리기능사,기능사,상시CBT,,필기,비전공자,충북,청주시험장,2026-10-21,5,14500,없음,0,14500,계좌이체,완료,접수완료,2026-08-19 15:57:00,가족보조
DN2026517489,강운순,1964-10-13,여,010-1771-2796,고등학교졸업,한식조리기능사,기능사,상시CBT,,필기,관련학과졸업,충남,천안시험장,2026-09-17,2,14500,차상위계층,7250,7250,계좌이체,완료,접수완료,2026-08-16 10:24:00,본인단독
DN2026755732,윤일남,1957-07-20,남,010-9797-5371,고등학교졸업,전기기능사,기능사,정기,3,필기,관련학과졸업,경북,포항시험장,2026-09-22,3,14500,차상위계층,7250,7250,신용카드,완료,접수완료,2026-08-17 09:46:00,복지관
DN2026655675,전삼석,1953-12-09,남,010-9317-4258,고등학교졸업,지게차운전기능사,기능사,상시CBT,,필기,관련학과졸업,제주,제주시험장,2026-09-28,3,14500,없음,0,14500,계좌이체,완료,접수완료,2026-08-18 17:58:00,대리접수
DN2026845965,전경자,1963-01-20,여,010-1949-4946,대학원졸,굴착기운전기능사,기능사,상시CBT,,필기,비전공자,충북,청주시험장,2026-10-27,1,14500,없음,0,14500,신용카드,완료,접수완료,2026-08-17 10:48:00,본인단독
DN2026791953,서필호,1936-09-06,남,010-6107-7537,대학원졸,한식조리기능사,기능사,상시CBT,,필기,비전공자,경기,고양시험장,2026-10-07,3,14500,기초생활수급자,7250,7250,신용카드,환불,취소,2026-08-17 16:07:00,본인단독
DN2026070675,박영수,1965-10-18,남,010-2160-9423,중학교졸업,한식조리기능사,기능사,상시CBT,,필기,비전공자,세종,세종시험장,2026-11-21,4,14500,없음,0,14500,신용카드,완료,접수완료,2026-08-05 20:59:00,복지관
DN2026905799,최정자,1936-07-07,여,010-2612-1993,고등학교졸업,한식조리기능사,기능사,상시CBT,,필기,경력,인천,인천시험장,2026-10-14,1,14500,없음,0,14500,신용카드,완료,접수완료,2026-08-07 17:28:00,본인단독
DN2026566848,김옥분,1937-04-28,여,010-4872-3724,고등학교졸업,한식조리기능사,기능사,상시CBT,,필기,경력,대구,대구시험장,2026-11-04,2,14500,장애인,7250,7250,가상계좌,완료,접수완료,2026-08-02 11:24:00,본인단독
DN2026568533,최갑순,1937-05-14,여,010-6138-1936,초등학교졸업,한식조리기능사,기능사,상시CBT,,필기,경력,경남,창원시험장,2026-09-02,5,14500,없음,0,14500,가상계좌,완료,접수완료,2026-08-17 11:03:00,복지관
DN2026041673,민동석,1962-10-03,남,010-7868-9565,고등학교졸업,굴착기운전기능사,기능사,상시CBT,,필기,경력,세종,세종시험장,2026-11-08,2,14500,없음,0,14500,계좌이체,완료,접수완료,2026-08-11 12:16:00,가족보조
DN2026223509,하복남,1947-08-11,남,010-3170-6718,대학교졸,지게차운전기능사,기능사,상시CBT,,필기,관련학과졸업,대구,대구시험장,2026-11-04,3,14500,없음,0,14500,신용카드,완료,접수완료,2026-08-15 22:34:00,복지관
DN2026112236,차정순,1933-01-22,여,010-5462-5616,고등학교졸업,지게차운전기능사,기능사,상시CBT,,필기,비전공자,강원,춘천시험장,2026-09-09,3,14500,국가유공자,7250,7250,신용카드,완료,접수완료,2026-08-09 17:31:00,가족보조
DN2026463299,차필호,1939-05-02,남,010-8007-1158,초등학교졸업,한식조리기능사,기능사,상시CBT,,필기,비전공자,서울,서울2시험장,2026-11-09,2,14500,장애인,7250,7250,계좌이체,완료,접수완료,2026-08-12 18:35:00,본인단독
DN2026818012,차말순,1947-06-26,여,010-3532-4878,대학교졸,한식조리기능사,기능사,상시CBT,,필기,관련학과졸업,부산,부산남부시험장,2026-09-22,4,14500,없음,0,14500,신용카드,완료,접수완료,2026-08-11 21:59:00,가족보조
DN2026833981,권상원,1960-07-28,남,010-1387-4164,고등학교졸업,한식조리기능사,기능사,상시CBT,,필기,경력,부산,부산남부시험장,2026-10-12,1,14500,없음,0,14500,가상계좌,완료,접수완료,2026-08-09 14:41:00,복지관
DN2026455674,문갑순,1932-06-01,여,010-6139-8149,고등학교졸업,지게차운전기능사,기능사,상시CBT,,필기,비전공자,인천,인천시험장,2026-10-02,1,14500,없음,0,14500,신용카드,완료,접수완료,2026-08-19 12:16:00,본인단독
DN2026695613,윤갑순,1932-11-24,여,010-5920-9308,고등학교졸업,한식조리기능사,기능사,상시CBT,,필기,경력,울산,울산시험장,2026-11-11,3,14500,없음,0,14500,신용카드,완료,접수완료,2026-08-10 17:08:00,본인단독
DN2026450771,우말자,1942-11-24,여,010-6279-8618,고등학교졸업,지게차운전기능사,기능사,상시CBT,,필기,비전공자,대전,대전시험장,2026-09-10,2,14500,없음,0,14500,계좌이체,완료,접수완료,2026-08-06 19:05:00,가족보조
DN2026640968,정봉숙,1951-11-10,여,010-7790-4185,전문대졸,한식조리기능사,기능사,상시CBT,,필기,경력,세종,세종시험장,2026-09-08,4,14500,없음,0,14500,신용카드,대기,결제대기,2026-08-05 19:44:00,본인단독
DN2026139817,남일남,1952-03-26,남,010-9702-6198,대학원졸,굴착기운전기능사,기능사,상시CBT,,필기,경력,제주,제주시험장,2026-09-28,5,14500,없음,0,14500,계좌이체,완료,접수완료,2026-08-17 15:53:00,복지관
DN2026287937,유옥분,1936-08-09,여,010-5681-4841,중학교졸업,굴착기운전기능사,기능사,상시CBT,,필기,경력,세종,세종시험장,2026-11-16,5,14500,장애인,7250,7250,신용카드,완료,접수완료,2026-08-05 12:24:00,복지관
DN2026948792,우필호,1962-07-14,남,010-1320-7232,고등학교졸업,지게차운전기능사,기능사,상시CBT,,필기,경력,충북,청주시험장,2026-09-27,3,14500,없음,0,14500,계좌이체,완료,접수완료,2026-08-14 17:47:00,복지관
DN2026173062,남철수,1949-07-16,남,010-9751-1441,대학교졸,전기기능사,기능사,정기,1,필기,관련학과졸업,서울,서울2시험장,2026-11-26,4,14500,없음,0,14500,신용카드,완료,접수완료,2026-08-15 11:03:00,가족보조
DN2026493153,이갑순,1937-06-11,여,010-9837-1853,대학원졸,한식조리기능사,기능사,상시CBT,,필기,경력,전북,전주시험장,2026-10-09,2,14500,장애인,7250,7250,계좌이체,완료,접수완료,2026-08-02 21:01:00,본인단독
DN2026804151,양용기,1957-04-05,남,010-2876-3683,대학원졸,굴착기운전기능사,기능사,상시CBT,,필기,관련학과졸업,경남,창원시험장,2026-09-15,5,14500,없음,0,14500,신용카드,완료,접수완료,2026-08-10 18:43:00,가족보조
DN2026844658,윤계순,1954-02-19,여,010-1672-6688,고등학교졸업,굴착기운전기능사,기능사,상시CBT,,필기,비전공자,세종,세종시험장,2026-10-28,3,14500,없음,0,14500,신용카드,완료,접수완료,2026-08-11 09:54:00,가족보조
