receipt_no,applicant_name,date_of_birth,sex,contact_number,education,qualification,exam_year,exam_stage,is_first_pass,subjects,exam_region,exam_center,test_date,session_no,amount,discount,final_amount,pay_type,pay_status,app_status,registered_at,usage_context
DP2026873295,류운순,1966/07/09,F,010-4770-6772,고등학교졸업,공인중개사,2026,1차,N,부동산학개론;민법및민사특별법,부산,부산남부시험장,2026/10/18,3,13400,NONE,13400,BANK_TRANSFER,PAID,CONFIRMED,2026/08/15 11:40,본인단독
DP2026034986,우순옥,1965/02/21,F,010-3153-2476,전문대졸,손해평가사,2026,1차,N,상법(보험편);농어업재해보험법규,강원,춘천시험장,2026/10/19,2,30000,NONE,30000,CARD,PAID,CONFIRMED,2026/08/08 11:50,본인단독
DP2026958450,심근호,1962/09/12,M,010-5835-6549,전문대졸,공인중개사,2026,2차,Y,공인중개사법;부동산공법;부동산공시법;부동산세법,대전,대전시험장,2026/10/22,1,15200,NONE,15200,CARD,PAID,CONFIRMED,2026/08/18 15:54,가족보조
DP2026277305,성만수,1961/09/12,M,010-8451-7038,대학교졸,손해평가사,2026,1차,N,상법(보험편);농어업재해보험법규,전북,전주시험장,2026/10/25,3,30000,NONE,30000,VIRTUAL_ACCOUNT,PAID,CONFIRMED,2026/08/11 14:06,가족보조
DP2026486820,전삼석,1965/10/18,M,010-7689-2911,초등학교졸업,손해평가사,2026,1차,N,상법(보험편);농어업재해보험법규,세종,세종시험장,2026/10/15,2,30000,BASIC_LIVING,30000,CARD,PAID,CONFIRMED,2026/08/04 12:56,본인단독
DP2026686736,조금순,1943/11/24,F,010-7686-5583,무학,손해평가사,2026,2차,Y,농작물재해보험이론과실무;가축재해보험이론과실무,전남,순천시험장,2026/10/22,2,30000,BASIC_LIVING,30000,BANK_TRANSFER,REFUNDED,CANCELLED,2026/08/04 19:23,가족보조
DP2026672876,구영호,1949/04/04,M,010-1828-6464,중학교졸업,손해평가사,2026,2차,N,농작물재해보험이론과실무;가축재해보험이론과실무,경북,포항시험장,2026/10/24,1,30000,NONE,30000,VIRTUAL_ACCOUNT,PAID,CONFIRMED,2026/08/07 18:13,본인단독
DP2026837303,오춘희,1928/01/09,F,010-1422-3159,무학,공인중개사,2026,2차,Y,공인중개사법;부동산공법;부동산공시법;부동산세법,광주,광주시험장,2026/10/18,3,15200,NONE,15200,CARD,PAID,CONFIRMED,2026/08/09 09:08,가족보조
DP2026991341,민성호,1936/08/25,M,010-9543-5941,고등학교졸업,공인중개사,2026,1차,N,부동산학개론;민법및민사특별법,인천,인천시험장,2026/10/15,1,13400,BASIC_LIVING,13400,BANK_TRANSFER,PAID,CONFIRMED,2026/08/14 19:06,가족보조
DP2026613800,차필순,1961/06/20,F,010-6327-7240,대학원졸,공인중개사,2026,1차,N,부동산학개론;민법및민사특별법,광주,광주시험장,2026/10/23,2,13400,NONE,13400,VIRTUAL_ACCOUNT,PAID,CONFIRMED,2026/08/14 10:50,본인단독
