examNumber,fullName,birthday,genderCode,mobile,certType,educationLevel,trainingOrg,trainingCertNo,trainingCompleteDate,trainingHours,photoVerified,centerName,examDate,timeSlot,feeAmount,discountType,finalFee,payment,payResult,regStatus,appliedAt,usageContext
DH2026428626,고정자,12-06-1948,2,01018576482,요양보호사,무학,제주시니어교육원,TR20261080,11-03-2026,240,PASS,대전센터,13-10-2026,PM,32000,없음,32000,virtual,success,active,19-08-2026 11:21,가족보조
DH2026325302,배철수,19-02-1941,1,01023886072,요양보호사,무학,창원노인복지관교육부,TR20269158,13-05-2026,240,PASS,대구센터,22-11-2026,AM,32000,없음,32000,transfer,success,active,18-08-2026 14:01,복지관
DH2026358333,노선옥,10-06-1961,2,01047113253,요양보호사,초등학교졸업,경기도요양보호사교육원,TR20262539,03-05-2026,240,PASS,대구센터,04-11-2026,AM,32000,없음,32000,virtual,success,active,12-08-2026 15:09,본인단독
DH2026045815,백순옥,06-03-1959,2,01048918277,위생사,중학교졸업,수원보건대학 환경보건과,TR20264669,25-06-2026,0,PASS,대구센터,08-10-2026,PM,30000,기초수급,30000,card,success,active,15-08-2026 16:29,가족보조
DH2026553082,백미자,25-05-1960,2,01042713267,요양보호사,고등학교졸업,천안시니어교육센터,TR20264097,02-06-2026,240,PASS,청주센터,18-09-2026,AM,32000,없음,32000,card,success,active,14-08-2026 16:57,가족보조
DH2026992387,권봉숙,05-09-1964,2,01067271436,위생사,대학교졸,부산보건대학 위생학과,TR20266798,02-06-2026,0,PASS,청주센터,08-10-2026,AM,30000,없음,30000,card,success,active,15-08-2026 10:53,본인단독
DH2026491898,유말자,10-01-1958,2,01010862298,위생사,무학,인천보건대 환경보건과,TR20262450,18-07-2026,0,PASS,전주센터,04-10-2026,AM,30000,없음,30000,card,success,active,08-08-2026 15:40,복지관
DH2026753449,임명자,18-10-1935,2,01080321025,요양보호사,고등학교졸업,수원시니어아카데미,TR20269350,14-04-2026,240,PASS,서울센터,03-11-2026,PM,32000,없음,32000,virtual,success,active,18-08-2026 17:50,복지관
DH2026017032,문근호,21-01-1936,1,01021066649,요양보호사,중학교졸업,인천시니어교육센터,TR20269534,24-05-2026,240,PASS,청주센터,12-11-2026,PM,32000,장애인,32000,card,success,active,15-08-2026 20:30,복지관
DH2026045935,서성호,25-12-1962,1,01061706080,위생사,고등학교졸업,전주보건대학교 위생과,TR20267757,09-03-2026,0,PASS,전주센터,07-10-2026,PM,30000,장애인,30000,card,success,active,11-08-2026 13:07,가족보조
DH2026385192,곽복순,11-07-1938,2,01023537955,위생사,초등학교졸업,제주보건대학 환경위생과,TR20262957,18-05-2026,0,PASS,대구센터,03-10-2026,PM,30000,없음,30000,virtual,success,active,14-08-2026 11:44,가족보조
DH2026668481,배순옥,14-10-1944,2,01094063621,요양보호사,대학원졸,광주복지교육원,TR20269955,22-06-2026,240,PASS,대전센터,03-09-2026,PM,32000,없음,32000,virtual,success,active,02-08-2026 18:09,복지관
DH2026384775,배영자,25-08-1943,2,01055665089,위생사,대학원졸,서울보건대학교 환경위생과,TR20263049,16-07-2026,0,PASS,부산센터,18-09-2026,PM,30000,없음,30000,virtual,success,active,15-08-2026 12:39,가족보조
DH2026849885,홍정자,15-02-1958,2,01066922063,요양보호사,고등학교졸업,전주평생학습관,TR20264915,28-04-2026,240,PASS,대구센터,23-11-2026,AM,32000,없음,32000,virtual,pending,pending,08-08-2026 10:12,본인단독
DH2026578444,장종수,18-06-1965,1,01024122077,위생사,고등학교졸업,수원보건대학 환경보건과,TR20268613,14-06-2026,0,PASS,수원센터,03-09-2026,PM,30000,없음,30000,transfer,success,active,15-08-2026 19:33,가족보조
DH2026954952,최만수,19-11-1931,1,01094883507,위생사,고등학교졸업,대구보건대학교 보건위생과,TR20265287,23-04-2026,0,PASS,대구센터,17-10-2026,AM,30000,없음,30000,virtual,success,active,18-08-2026 13:08,복지관
DH2026654814,구영자,21-09-1961,2,01016741464,요양보호사,초등학교졸업,춘천노인복지교육센터,TR20263454,25-07-2026,240,PASS,대구센터,21-09-2026,PM,32000,장애인,32000,virtual,success,active,10-08-2026 19:19,가족보조
DH2026435811,심상길,15-05-1941,1,01043426573,위생사,고등학교졸업,대전보건대학 환경위생학과,TR20265232,24-05-2026,0,PENDING,부산센터,05-10-2026,AM,30000,없음,30000,transfer,success,active,04-08-2026 13:28,본인단독
DH2026946142,한영수,28-07-1948,1,01061234110,요양보호사,전문대졸,청주보건교육원,TR20268434,15-06-2026,240,PASS,청주센터,16-09-2026,AM,32000,기초수급,32000,virtual,pending,pending,15-08-2026 12:13,복지관
DH2026888325,조말순,20-08-1948,2,01031945333,요양보호사,전문대졸,제주시니어교육원,TR20265996,02-06-2026,240,PASS,전주센터,18-09-2026,PM,32000,없음,32000,card,success,active,13-08-2026 17:28,복지관
DH2026355557,차순옥,04-03-1959,2,01033634261,위생사,고등학교졸업,경기보건대학교 보건학과,TR20268194,02-03-2026,0,PASS,청주센터,23-10-2026,PM,30000,없음,30000,card,success,active,17-08-2026 11:20,복지관
DH2026743168,주명자,11-10-1947,2,01087801272,요양보호사,고등학교졸업,인천시니어교육센터,TR20266825,19-05-2026,240,PASS,제주센터,24-11-2026,AM,32000,없음,32000,transfer,success,active,19-08-2026 18:14,복지관
DH2026253962,박원호,21-09-1956,1,01028004125,요양보호사,무학,순천시니어교육원,TR20266862,05-06-2026,240,PASS,청주센터,14-11-2026,PM,32000,장애인,32000,virtual,success,active,02-08-2026 20:08,복지관
DH2026559025,고재호,13-09-1936,1,01068045331,요양보호사,고등학교졸업,경기도요양보호사교육원,TR20264039,09-07-2026,240,PASS,수원센터,10-10-2026,AM,32000,없음,32000,transfer,success,active,11-08-2026 16:22,복지관
DH2026810617,임명자,18-11-1930,2,01016895712,요양보호사,대학원졸,대구평생교육원,TR20265675,15-05-2026,240,PASS,청주센터,07-09-2026,PM,32000,기초수급,32000,virtual,success,active,09-08-2026 11:06,복지관
DH2026346338,심만수,21-04-1933,1,01032521084,요양보호사,대학원졸,대전실버교육원,TR20266667,21-06-2026,240,PASS,광주센터,07-10-2026,PM,32000,없음,32000,card,success,active,03-08-2026 19:36,본인단독
DH2026416279,노용기,27-07-1955,1,01057421613,위생사,무학,제주보건대학 환경위생과,TR20269876,04-05-2026,0,PASS,대구센터,21-11-2026,PM,30000,장애인,30000,card,pending,pending,17-08-2026 16:17,본인단독
DH2026829180,류원호,09-11-1937,1,01041643875,요양보호사,고등학교졸업,제주시니어교육원,TR20267008,17-05-2026,240,PASS,대구센터,22-09-2026,AM,32000,기초수급,32000,transfer,success,active,11-08-2026 12:00,가족보조
DH2026726421,황순자,10-06-1949,2,01029368625,요양보호사,고등학교졸업,제주시니어교육원,TR20268234,23-05-2026,240,PASS,서울센터,21-10-2026,PM,32000,없음,32000,card,success,active,05-08-2026 16:09,가족보조
DH2026713391,구계순,25-08-1931,2,01023419609,요양보호사,고등학교졸업,창원노인복지관교육부,TR20261280,19-03-2026,240,PASS,제주센터,18-11-2026,AM,32000,없음,32000,card,success,active,06-08-2026 14:54,복지관
