접수번호,성명,생년월일,성별,연락처,최종학력,자격종목,등급,시험유형,회차,시험구분,응시자격유형,시험지역,시험장,시험일자,교시,수수료,감면유형,감면금액,최종결제금액,결제수단,결제상태,접수상태,접수일시,사용맥락
DN2026090785,안갑순,1954-07-13,여,010-7276-9696,초등학교졸업,한식조리기능사,기능사,상시CBT,,필기,비전공자,울산,울산시험장,2026-09-25,5,14500,없음,0,14500,신용카드,완료,접수완료,2026-08-19 16:12:00,가족보조
DN2026483901,오원호,1956-07-24,남,010-6551-2359,초등학교졸업,지게차운전기능사,기능사,상시CBT,,필기,비전공자,울산,울산시험장,2026-09-05,5,14500,장애인,7250,7250,계좌이체,완료,접수완료,2026-08-11 16:20:00,가족보조
DN2026978464,성동석,1958-07-02,남,010-8570-9497,초등학교졸업,굴착기운전기능사,기능사,상시CBT,,필기,관련학과졸업,경기,고양시험장,2026-09-12,5,14500,없음,0,14500,신용카드,완료,접수완료,2026-08-10 14:08:00,가족보조
DN2026692375,오순자,1963-04-23,여,010-2798-1381,중학교졸업,한식조리기능사,기능사,상시CBT,,필기,관련학과졸업,대전,대전시험장,2026-09-17,4,14500,없음,0,14500,계좌이체,완료,접수완료,2026-08-16 10:59:00,본인단독
DN2026345714,장병수,1962-07-21,남,010-7640-4289,중학교졸업,전기기능사,기능사,정기,1,필기,비전공자,대구,대구시험장,2026-09-13,2,14500,없음,0,14500,신용카드,완료,접수완료,2026-08-18 15:52:00,본인단독
DN2026986945,백만수,1955-03-12,남,010-2580-2945,중학교졸업,한식조리기능사,기능사,상시CBT,,필기,관련학과졸업,경남,창원시험장,2026-09-20,3,14500,없음,0,14500,신용카드,완료,접수완료,2026-08-12 15:09:00,가족보조
DN2026899538,양미자,1964-04-18,여,010-2186-9212,고등학교졸업,한식조리기능사,기능사,상시CBT,,필기,경력,충북,청주시험장,2026-10-04,1,14500,장애인,7250,7250,계좌이체,완료,접수완료,2026-08-10 14:13:00,본인단독
DN2026097166,오성호,1957-07-13,남,010-7111-7530,고등학교졸업,전기기능사,기능사,정기,4,필기,관련학과졸업,충북,청주시험장,2026-10-18,3,14500,없음,0,14500,가상계좌,완료,접수완료,2026-08-13 13:06:00,복지관
DN2026310774,유갑수,1953-12-24,남,010-2312-8173,고등학교졸업,지게차운전기능사,기능사,상시CBT,,필기,경력,충북,청주시험장,2026-09-13,3,14500,장애인,7250,7250,신용카드,완료,접수완료,2026-08-14 14:50:00,대리접수
DN2026690191,민미자,1963-08-18,여,010-5625-7208,대학원졸,굴착기운전기능사,기능사,상시CBT,,필기,비전공자,광주,광주시험장,2026-10-14,5,14500,없음,0,14500,가상계좌,완료,접수완료,2026-08-19 16:12:00,본인단독
DN2026827843,안정자,1954-06-01,여,010-7827-4788,고등학교졸업,한식조리기능사,기능사,상시CBT,,필기,경력,충남,천안시험장,2026-09-22,4,14500,차상위계층,7250,7250,신용카드,완료,접수완료,2026-08-17 17:12:00,본인단독
DN2026556827,민운순,1956-09-26,여,010-5710-4281,전문대졸,굴착기운전기능사,기능사,상시CBT,,필기,관련학과졸업,경북,포항시험장,2026-11-14,3,14500,없음,0,14500,신용카드,완료,접수완료,2026-08-02 09:26:00,가족보조
